Year,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Win-Loss Record,Round,Pick,Team,Age,To,AP1,PB,St,CarAV,DrAV,Solo,Int,Sacks,Drafted,Solos_Per_Year,Ints_Per_Year,Sacks_Per_Year,Solos_Per_Game
2004.0,Bo Schobel,Texas Christian,DE,77.0,271.0,4.82,25.0,32.5,109.0,4.38,6.94,11-1-0,4.0,103.0,TEN,23.0,2007.0,0.0,0.0,0.0,3.0,2.0,41.0,0.0,1.5,D,13.67,0.0,0.5,0.854375
2004.0,Stuart Schweigert,Purdue,FS,74.0,218.0,4.45,18.0,38.0,124.0,3.89,6.68,5-6-0,3.0,67.0,OAK,23.0,2008.0,0.0,0.0,3.0,15.0,15.0,266.0,4.0,0.0,D,66.5,1.0,0.0,4.15625
2004.0,Darrion Scott,Ohio State,DE,75.1,289.0,4.84,21.68733850129199,36.5,118.0,4.32,7.203437499999993,10-2-0,3.0,88.0,MIN,22.0,2011.0,0.0,0.0,2.0,15.0,15.0,80.0,0.0,9.5,D,11.43,0.0,1.36,0.714375
2004.0,Guss Scott,Florida,SS,70.4,204.0,4.49,20.0,39.0,124.0,4.280972644376902,7.203437499999993,9-3-0,3.0,95.0,NWE,23.0,2006.0,0.0,0.0,0.0,1.0,1.0,32.0,0.0,0.0,D,16.0,0.0,0.0,1.0
2004.0,Richard Seigler,Oregon State,ILB,74.3,244.0,4.75,25.0,34.358247422680414,116.59947643979058,4.280972644376902,7.203437499999993,5-6-0,4.0,127.0,SFO,23.0,2006.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,D,2.0,0.0,0.0,0.125
2004.0,Jason Shivers,Arizona State,FS,72.5,201.0,4.53,19.0,36.0,128.0,4.280972644376902,7.203437499999993,7-5-0,5.0,158.0,STL,21.0,2004.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,D,1.0,0.0,0.0,1.0
2004.0,Junior Siavii,Oregon,DT,76.5,344.0,5.18,31.0,24.5,93.0,4.84,7.93,10-2-0,2.0,36.0,KAN,25.0,2010.0,0.0,0.0,0.0,6.0,2.0,46.0,0.0,1.0,D,7.67,0.0,0.17,0.479375
2004.0,Antonio Smith,Oklahoma State,DE,75.4,274.0,5.05,24.0,33.0,108.0,4.75,7.203437499999993,4-7-0,5.0,135.0,ARI,22.0,2016.0,0.0,1.0,8.0,56.0,16.0,247.0,0.0,47.5,D,20.58,0.0,3.96,1.28625
2004.0,Daryl Smith,Georgia Tech,OLB,73.6,234.0,4.67,24.0,34.358247422680414,116.59947643979058,4.280972644376902,7.203437499999993,7-5-0,2.0,39.0,JAX,22.0,2016.0,0.0,0.0,12.0,75.0,44.0,764.0,12.0,30.5,D,63.67,1.0,2.54,3.979375
2004.0,Keith Smith,McNeese State (LA),CB,71.5,201.0,4.49,12.0,36.5,116.0,4.280972644376902,7.203437499999993,,3.0,73.0,DET,24.0,2009.0,0.0,0.0,0.0,7.0,7.0,130.0,4.0,1.0,D,26.0,0.8,0.2,1.625
2004.0,Isaac Sopoaga,Hawaii,DT,74.3,317.0,5.0,42.0,30.5,99.0,4.66,7.79,5-7-0,4.0,104.0,SFO,23.0,2013.0,0.0,0.0,5.0,36.0,32.0,158.0,0.0,8.5,D,17.56,0.0,0.94,1.0975
2004.0,Cody Spencer,North Texas,ILB,74.5,242.0,4.67,27.0,34.5,116.0,4.08,6.94,2-9-0,6.0,182.0,OAK,23.0,2008.0,0.0,0.0,0.0,4.0,,54.0,0.0,0.0,D,13.5,0.0,0.0,0.84375
2004.0,Randy Starks,Maryland,DT,75.4,314.0,5.03,27.0,29.5,102.0,4.280972644376902,7.203437499999993,5-6-0,3.0,71.0,TEN,20.0,2015.0,0.0,2.0,8.0,61.0,10.0,300.0,4.0,42.0,D,27.27,0.36,3.82,1.704375
2004.0,Craig Terrill,Purdue,DT,74.5,290.0,5.23,28.0,26.5,100.0,4.1,7.39,5-6-0,6.0,189.0,SEA,24.0,2010.0,0.0,0.0,0.0,9.0,9.0,77.0,0.0,8.0,D,12.83,0.0,1.33,0.801875
2004.0,Dontarrious Thomas,Auburn,OLB,74.5,241.0,4.64,26.0,38.5,129.0,4.0,7.203437499999993,9-3-0,2.0,48.0,MIN,24.0,2008.0,0.0,0.0,0.0,8.0,8.0,104.0,0.0,1.5,D,26.0,0.0,0.38,1.625
2004.0,Joey Thomas,Montana State,CB,72.9,195.0,4.46,17.0,38.5,122.0,3.88,6.82,,3.0,70.0,GNB,24.0,2008.0,0.0,0.0,0.0,3.0,2.0,34.0,0.0,0.0,D,8.5,0.0,0.0,0.53125
2004.0,Chris Thompson,Nicholls State (LA),CB,72.0,189.0,4.5,12.0,35.0,117.0,4.14,7.09,,5.0,150.0,JAX,22.0,2005.0,0.0,0.0,0.0,1.0,,7.0,0.0,0.0,D,7.0,0.0,0.0,0.4375
2004.0,Bruce Thornton,Georgia,CB,71.0,197.0,4.5,21.68733850129199,37.5,122.0,4.280972644376902,7.203437499999993,10-3-0,4.0,121.0,DAL,24.0,2005.0,0.0,0.0,1.0,4.0,0.0,37.0,2.0,0.0,D,37.0,2.0,0.0,2.3125
2004.0,Reggie Torbor,Auburn,DE,74.1,254.0,4.7,16.0,34.0,120.0,4.46,7.48,9-3-0,4.0,97.0,NYG,23.0,2010.0,0.0,0.0,2.0,17.0,11.0,178.0,2.0,6.5,D,29.67,0.33,1.08,1.854375
2004.0,Marcus Tubbs,Texas,DT,76.0,321.0,5.05,29.0,32.5,105.0,4.280972644376902,7.203437499999993,13-0-0,1.0,23.0,SEA,23.0,2006.0,0.0,0.0,1.0,9.0,9.0,37.0,0.0,7.0,D,18.5,0.0,3.5,1.15625
2004.0,Sean Tufts,Colorado,OLB,76.1,242.0,4.66,21.0,34.5,118.0,3.94,6.94,7-6-0,6.0,196.0,CAR,22.0,2005.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,D,9.0,0.0,0.0,0.5625
2004.0,Michael Waddell,North Carolina,CB,70.9,187.0,4.33,14.0,37.5,121.0,4.03,6.84,5-6-0,4.0,124.0,TEN,23.0,2008.0,0.0,0.0,0.0,3.0,3.0,60.0,1.0,0.5,D,15.0,0.25,0.12,0.9375
2004.0,Matt Ware,UCLA,FS,74.4,209.0,4.54,15.0,34.358247422680414,116.59947643979058,4.280972644376902,7.203437499999993,10-2-0,3.0,89.0,PHI,21.0,2010.0,0.0,0.0,0.0,6.0,2.0,100.0,1.0,0.0,D,16.67,0.17,0.0,1.041875
2004.0,Donnell Washington,Clemson,DT,77.5,332.0,5.03,34.0,31.0,109.0,4.88,7.8,8-4-0,3.0,72.0,GNB,,2006.0,0.0,0.0,0.0,,,0.0,0.0,0.0,D,0.0,0.0,0.0,0.0
2004.0,Rashad Washington,Kansas State,FS,74.1,223.0,4.61,14.0,34.0,116.0,4.02,7.06,5-6-0,7.0,236.0,NYJ,24.0,2007.0,0.0,0.0,0.0,3.0,3.0,54.0,0.0,1.5,D,18.0,0.0,0.5,1.125
