Year,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Win-Loss Record,Round,Pick,Team,Age,To,AP1,PB,St,CarAV,DrAV,Solo,Int,Sacks,Drafted
2004.0,Leon Joe,Maryland,OLB,72.5,230.0,4.51,30.0,39.0,,,,5-6-0,4,112,CHI,22,2007,0,0,0,3,3,36,,,D
2004.0,Landon Johnson,Purdue,OLB,74.0,223.0,4.65,20.0,37.5,120.0,4.08,7.01,5-6-0,3,96,CIN,23,2010,0,0,5,28,22,342,1,3.5,D
2004.0,Spencer Johnson,Auburn,DT,74.9,286.0,5.12,19.0,30.0,111.0,4.53,7.78,9-3-0,,,,,,,,,,,,,,U
2004.0,Tank Johnson,Washington,DT,74.8,304.0,4.74,31.0,34.0,114.0,4.6,7.56,2-9-0,2,47,CHI,22,2010,0,0,2,22,11,107,,14.0,D
2004.0,Trevor Johnson,Nebraska,DE,76.6,260.0,4.81,23.0,35.5,110.0,4.08,7.06,8-4-0,7,234,NYJ,23,2007,0,0,0,1,0,33,,,D
2004.0,Maurice Jones,South Florida,OLB,72.8,249.0,4.72,26.0,35.5,118.0,4.21,7.16,6-6-0,,,,,,,,,,,,,,U
2004.0,Randy Jordan,Kansas State,CB,72.8,178.0,4.61,,33.5,115.0,4.21,7.34,5-6-0,,,,,,,,,,,,,,U
2004.0,Tommy Kelly,Mississippi State,DE,78.0,294.0,4.87,24.0,25.0,105.0,4.45,7.79,3-8-0,,,,,,,,,,,,,,U
2004.0,Niko Koutouvides,Purdue,ILB,74.5,244.0,4.73,,30.5,108.0,3.88,6.98,5-6-0,4,116,SEA,23,2012,0,0,0,8,4,134,,1.0,D
2004.0,Travis Laboy,Hawaii,DE,75.3,263.0,4.71,35.0,35.5,126.0,4.07,7.01,5-7-0,,,,,,,,,,,,,,U
2004.0,Teddy Lehman,Oklahoma,OLB,73.5,240.0,4.55,26.0,34.5,113.0,4.06,6.91,8-4-0,2,37,DET,22,2008,0,0,1,9,9,106,2,1.0,D
2004.0,Rodney Leslie,UCLA,DT,75.0,309.0,5.15,31.0,,,,,10-2-0,,,,,,,,,,,,,,U
2004.0,Jeremy LeSueur,Michigan,CB,72.0,197.0,4.55,,35.0,116.0,,,7-5-0,3,85,DEN,23,2005,0,0,0,0,,,,,D
2004.0,Alex Lewis,Wisconsin,OLB,71.8,227.0,4.72,25.0,34.5,121.0,4.28,7.06,10-3-0,5,140,DET,23,2008,0,0,0,7,7,137,1,2.0,D
2004.0,Keith Lewis,Oregon,FS,72.5,204.0,4.58,11.0,37.0,121.0,4.07,7.28,10-2-0,6,198,SFO,22,2008,0,0,1,7,7,117,3,1.0,D
2004.0,Bobby McCray,Florida,DE,77.8,255.0,4.68,27.0,33.5,,,,9-3-0,7,249,JAX,22,2010,0,0,2,24,18,105,,29.5,D
2004.0,Nautyn McKay-Loescher,Alabama,DE,74.0,260.0,4.75,,,,,7.27,10-2-0,,,,,,,,,,,,,,U
2004.0,Caleb Miller,Arkansas,ILB,75.3,224.0,4.71,23.0,34.5,120.0,3.93,6.85,4-7-0,3,80,CIN,24,2007,0,0,0,10,10,111,,1.0,D
2004.0,Gabe Nyenhuis,Colorado,DE,75.3,269.0,4.78,25.0,39.0,124.0,4.03,6.92,7-6-0,,,,,,,,,,,,,,U
