Year,Name,College_x,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Win-Loss Record,Round,Pick,Team,Pos,Age,To,AP1,PB,St,CarAV,DrAV,Solo,Int,Sacks,Drafted
2006.0,Clint Ingram,Oklahoma,OLB,73.75,244.0,4.65,22.0,41.0,,4.1,7.12,8-4-0,3,80,JAX,LB,23,2009,0,0,3,21,21,158,2,5.5,1
2006.0,Ben Ishola,Indiana,DE,75.13,248.0,,,,,,,4-7-0,,,,,,,,,,,,,,,0
2006.0,D'Qwell Jackson,Maryland,ILB,72.5,230.0,4.77,19.0,37.0,116.0,4.36,7.05,5-6-0,2,34,CLE,LB,22,2016,0,1,9,63,40,754,9,19.5,1
2006.0,Tommy Jackson,Auburn,DT,72.38,304.0,5.26,26.0,31.0,104.0,4.6,7.72,9-3-0,,,,,,,,,,,,,,,0
2006.0,Julian Jenkins,Stanford,DE,75.63,277.0,5.09,25.0,34.5,110.0,4.23,7.11,5-6-0,5,156,TAM,DE,22,2006,0,0,0,1,1,6,,,1
2006.0,Kelly Jennings,Miami (FL),CB,70.88,178.0,4.44,,40.0,120.0,4.0,,9-3-0,,,,,,,,,,,,,,,0
2006.0,Tim Jennings,Georgia,CB,67.75,185.0,4.38,17.0,37.5,117.0,,,10-3-0,,,,,,,,,,,,,,,0
2006.0,Brandon Johnson,Louisville,OLB,76.88,228.0,4.52,11.0,37.0,118.0,4.34,7.17,9-3-0,5,142,ARI,LB,23,2012,0,0,1,13,0,133,3,3.5,1
2006.0,Johnny Jolly,Texas A&M,DT,75.25,317.0,5.46,,,104.0,,,5-6-0,6,183,GNB,DT,23,2013,0,0,3,23,23,89,1,3.0,1
2006.0,Johnathan Joseph,South Carolina,CB,71.0,193.0,4.37,15.0,37.0,123.0,4.23,6.92,7-5-0,,,,,,,,,,,,,,,0
2006.0,Freddy Keiaho,San Diego State,ILB,71.25,224.0,4.65,15.0,36.0,113.0,4.12,7.01,5-7-0,3,94,IND,LB,23,2009,0,0,2,15,15,189,1,1.5,1
2006.0,Charlton Keith,Kansas,OLB,76.38,237.0,4.83,12.0,30.5,109.0,4.36,7.03,7-5-0,,,,,,,,,,,,,,,0
2006.0,William Kershaw,Maryland,OLB,74.75,240.0,4.67,21.0,37.0,111.0,4.17,6.95,5-6-0,,,,,,,,,,,,,,,0
2006.0,Mathias Kiwanuka,Boston College,DE,77.75,266.0,4.74,17.0,32.0,120.0,4.13,7.27,9-3-0,1,32,NYG,DE,23,2014,0,0,5,36,36,301,3,38.5,1
2006.0,Mike Kudla,Ohio State,DE,73.63,265.0,4.77,45.0,37.0,114.0,4.45,7.21,10-2-0,,,,,,,,,,,,,,,0
2006.0,Ryan LaCasse,Syracuse,DE,74.38,257.0,4.62,34.0,34.0,113.0,4.3,7.25,1-10-0,7,219,BAL,LB,23,2006,0,0,0,1,,6,,,1
2006.0,Dawan Landry,Georgia Tech,SS,72.88,220.0,4.69,18.0,37.5,124.0,4.27,,7-5-0,,,,,,,,,,,,,,,0
2006.0,Manny Lawson,North Carolina State,OLB,77.38,241.0,4.47,23.0,39.5,124.0,4.18,6.9,7-5-0,1,22,SFO,DE,22,2015,0,0,7,46,23,352,4,24.5,1
2006.0,Josh Lay,Pittsburgh,CB,72.0,197.0,4.48,16.0,40.5,120.0,,,5-6-0,,,,,,,,,,,,,,,0
2006.0,Jonathan Lewis,Virginia Tech,DT,73.13,309.0,4.99,24.0,33.5,111.0,4.4,7.4,11-2-0,6,177,ARI,DT,22,2006,0,0,0,0,0,3,,,1
2006.0,Calvin Lowry,Penn State,SS,71.0,200.0,4.58,15.0,36.0,120.0,4.2,7.16,11-1-0,,,,,,,,,,,,,,,0
2006.0,Jesse Mahelona,Tennessee,DT,72.5,311.0,,,,,,,5-6-0,5,169,TEN,DT,23,2007,0,0,0,1,1,16,,1.0,1
2006.0,Antonio Malone,Toledo,CB,71.75,200.0,4.61,10.0,34.0,111.0,4.1,7.05,9-3-0,,,,,,,,,,,,,,,0
2006.0,Danieal Manning,Abilene Christian (TX),CB,70.75,202.0,4.5,17.0,39.0,123.0,4.07,7.23,,,,,,,,,,,,,,,,0
2006.0,Antwan Marsh,Pikeville,FS,73.75,216.0,,,,,,,,,,,,,,,,,,,,,,0
2006.0,Richard Marshall,Frenso State (CA),CB,71.13,189.0,4.46,12.0,37.0,129.0,4.16,6.65,,,,,,,,,,,,,,,,0
2006.0,Derrick Martin,Wyoming,CB,70.0,202.0,4.54,17.0,40.0,127.0,3.95,6.72,4-7-0,,,,,,,,,,,,,,,0
2006.0,Marcus Maxey,Miami (FL),CB,73.5,198.0,4.5,14.0,41.5,129.0,,,9-3-0,,,,,,,,,,,,,,,0
2006.0,Dee McCann,West Virginia,CB,71.25,197.0,4.54,,40.5,122.0,4.38,7.35,11-1-0,,,,,,,,,,,,,,,0
2006.0,John McCargo,North Carolina State,DT,73.5,302.0,5.19,25.0,30.5,110.0,4.48,7.79,7-5-0,1,26,BUF,DT,23,2011,0,0,0,3,3,35,,2.5,1
2006.0,Stanley McClover,Auburn,DE,74.38,262.0,4.72,19.0,39.0,114.0,4.5,7.87,9-3-0,7,237,CAR,DE,21,2008,0,0,0,1,1,7,,1.0,1
2006.0,Tony McDaniel,Tennessee,DT,78.88,300.0,,,,,,,5-6-0,,,,,,,,,,,,,,,0
2006.0,Tim McGarigle,Northwestern,ILB,72.63,242.0,4.78,,38.0,118.0,4.07,7.09,7-5-0,7,221,STL,LB,22,2007,0,0,0,1,1,6,,,1
2006.0,Roger McIntosh,Miami (FL),OLB,74.13,237.0,4.65,18.0,41.5,119.0,,,9-3-0,,,,,,,,,,,,,,,0
2006.0,Gerrick McPhearson,Maryland,CB,70.13,196.0,4.46,18.0,41.5,129.0,,,5-6-0,,,,,,,,,,,,,,,0
2006.0,Vincent Meeks,Texas Tech,SS,70.63,210.0,4.91,11.0,33.0,112.0,,,9-3-0,,,,,,,,,,,,,,,0
2006.0,Jeremy Mincey,Florida,DE,75.5,259.0,4.78,27.0,33.5,116.0,4.25,6.99,9-3-0,6,191,NWE,DE,22,2015,0,0,4,30,,152,1,26.0,1
2006.0,DeMario Minter,Georgia,CB,71.13,190.0,4.54,10.0,38.5,131.0,4.1,6.87,10-3-0,,,,,,,,,,,,,,,0
2006.0,Terna Nande,Miami (OH),OLB,72.13,232.0,4.55,41.0,39.0,124.0,4.11,6.97,7-4-0,5,137,TEN,LB,23,2006,0,0,0,0,0,1,,,1
2006.0,Javon Nanton,Miami (FL),DE,75.38,250.0,4.88,22.0,28.5,108.0,,,9-3-0,,,,,,,,,,,,,,,0
2006.0,Khalid Naziruddin,Texas Tech,CB,69.13,185.0,4.69,17.0,38.5,119.0,,,9-3-0,,,,,,,,,,,,,,,0
2006.0,Haloti Ngata,Oregon,DT,76.13,338.0,5.18,37.0,31.5,110.0,4.65,7.95,10-2-0,1,12,BAL,DT,22,2018,2,5,12,99,91,329,5,32.5,1
