Year,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Win-Loss Record,Round,Pick,Team,Age,To,AP1,PB,St,CarAV,DrAV,Solo,Int,Sacks,Drafted
2005.0,Andre Frazier,Cincinnati,DE,76.63,234.0,4.72,19.0,38.0,123.0,4.12,7.09,4-7-0,,,,,,,,,,,,,,U
2005.0,George Gause,South Carolina,DE,76.88,275.0,,,,,,,7-5-0,,,,,,,,,,,,,,U
2005.0,Johnathan Goddard,Marshall (WV),OLB,72.25,238.0,4.7,27.0,35.0,107.0,4.14,7.48,4-7-0,,,,,,,,,,,,,,U
2005.0,Michael Goolsby,Notre Dame,ILB,75.0,249.0,5.0,,29.5,112.0,4.36,7.31,9-3-0,,,,,,,,,,,,,,U
2005.0,Matt Grootegoed,Southern California,SS,70.75,218.0,4.68,22.0,31.5,107.0,4.26,7.17,12-1-0,,,,,,,,,,,,,,U
2005.0,Jason Harmon,Michigan State,FS,71.5,209.0,4.74,23.0,37.0,117.0,4.1,7.61,5-6-0,,,,,,,,,,,,,,U
2005.0,Jermaine Harris,South Carolina,FS,75.25,208.0,,,,,,,7-5-0,,,,,,,,,,,,,,U
2005.0,Marques Harris,Southern Utah,OLB,73.0,231.0,4.76,22.0,40.5,117.0,4.07,7.19,,,,,,,,,,,,,,,U
2005.0,Arnold Harrison,Georgia,OLB,74.75,236.0,,,,,,,10-3-0,,,,,,,,,,,,,,U
2005.0,Leroy Hill,Clemson,ILB,73.0,229.0,4.7,25.0,34.0,116.0,4.1,7.23,8-4-0,,,,,,,,,,,,,,U
2005.0,Terry Holley,Rice (TX),SS,73.25,211.0,4.68,24.0,37.0,115.0,,,1-10-0,,,,,,,,,,,,,,U
2005.0,Kevin Huntley,Kansas State,DE,78.75,267.0,,,,,,,5-6-0,,,,,,,,,,,,,,U
2005.0,Tyler King,Connecticut,DE,77.5,271.0,4.89,20.0,36.0,115.0,4.34,7.57,5-6-0,,,,,,,,,,,,,,U
2005.0,Marcus Lawrence,South Carolina,ILB,74.13,243.0,4.65,19.0,34.0,120.0,4.32,7.16,7-5-0,,,,,,,,,,,,,,U
2005.0,Jim Leonhard,Wisconsin,FS,68.38,191.0,4.63,19.0,,,,,10-3-0,,,,,,,,,,,,,,U
2005.0,Alfred Malone,Troy (AL),DT,76.0,305.0,,,,,,,4-7-0,,,,,,,,,,,,,,U
2005.0,Lynn McGruder,Oklahoma,DT,73.38,307.0,5.01,28.0,35.5,112.0,4.42,7.71,8-4-0,,,,,,,,,,,,,,U
2005.0,Chris McKenzie,Arizona State,CB,68.5,185.0,4.37,6.0,45.0,133.0,4.32,6.9,7-5-0,,,,,,,,,,,,,,U
2005.0,Albert Means,Memphis,DT,75.88,318.0,5.48,26.0,27.0,96.0,4.87,8.21,7-5-0,,,,,,,,,,,,,,U
2005.0,Dominique Morris,Vanderbilt,CB,71.13,197.0,,,,,,,5-6-0,,,,,,,,,,,,,,U
2005.0,Martin Patterson,Texas Christian,ILB,73.5,243.0,4.92,21.0,34.0,110.0,4.2,7.31,11-1-0,,,,,,,,,,,,,,U
2005.0,Jonathan Pollard,Oregon State,OLB,73.0,247.0,4.71,21.0,35.0,116.0,4.07,7.41,5-6-0,,,,,,,,,,,,,,U
2005.0,Lamont Reid,North Carolina State,CB,71.25,195.0,4.59,15.0,40.5,120.0,4.28,7.18,7-5-0,,,,,,,,,,,,,,U
2005.0,Derreck Robinson,Iowa,DT,76.25,289.0,5.04,27.0,34.5,108.0,4.53,7.97,7-5-0,,,,,,,,,,,,,,U
2005.0,Junior Rosegreen,Auburn,CB,70.88,189.0,,,,,,,9-3-0,,,,,,,,,,,,,,U
2005.0,Ernest Shazor,Michigan,SS,75.63,228.0,,,,,,,7-5-0,,,,,,,,,,,,,,U
2005.0,Tyson Smith,Iowa State,OLB,74.0,240.0,,,,,,,7-5-0,,,,,,,,,,,,,,U
2005.0,Benard Thomas,Nebraska,DE,75.88,269.0,4.92,27.0,30.0,100.0,4.34,8.24,8-4-0,,,,,,,,,,,,,,U
2005.0,Duvol Thompson,Pennsylvania,CB,69.88,185.0,,,,,,,,,,,,,,,,,,,,,U
2005.0,Cameron Wake,Penn State,OLB,74.75,236.0,4.65,20.0,45.5,130.0,4.13,7.12,11-1-0,,,,,,,,,,,,,,U
2005.0,Marquis Weeks,Virginia,SS,70.5,216.0,4.62,23.0,36.5,119.0,3.89,7.46,7-5-0,,,,,,,,,,,,,,U
2005.0,Aric Williams,Oregon State,CB,71.5,187.0,4.58,8.0,36.0,117.0,,,5-6-0,,,,,,,,,,,,,,U
2005.0,Cedrick Williams,Kansas State,CB,69.75,168.0,4.55,13.0,35.0,121.0,4.22,7.24,5-6-0,,,,,,,,,,,,,,U
2005.0,Jerron Wishom,Louisiana Tech,CB,71.75,193.0,4.53,18.0,38.0,118.0,4.07,6.81,7-4-0,,,,,,,,,,,,,,U
