Year,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Win-Loss Record,Round,Pick,Team,Age,To,AP1,PB,St,CarAV,DrAV,Solo,Int,Sacks,Drafted,Solos_Per_Year,Ints_Per_Year,Sacks_Per_Year,Solos_Per_Game
2000.0,Jerry Johnson,Florida State,DT,72.5,293.0,5.09,26.0,28.5,102.0,4.304478021978025,7.204715672676831,8-5-0,4.0,101.0,DEN,23.0,2001.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,D,10.0,0.0,0.0,0.625
2000.0,Dhani Jones,Michigan,OLB,73.1,240.0,4.69,29.0,34.43981481481482,116.02665121668598,4.304478021978025,7.204715672676831,7-5-0,6.0,177.0,NYG,22.0,2010.0,0.0,0.0,9.0,55.0,14.0,632.0,5.0,9.5,D,63.2,0.5,0.95,3.95
2000.0,Ben Kelly,Colorado,CB,68.9,183.0,4.56,17.0,36.0,116.0,3.95,6.63,7-6-0,3.0,84.0,MIA,21.0,2002.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,D,2.0,0.0,0.0,0.125
2000.0,Kenoy Kennedy,Arkansas,FS,73.0,221.0,4.71,8.0,33.5,113.0,4.38,7.08,4-7-0,2.0,45.0,DEN,22.0,2007.0,0.0,0.0,7.0,34.0,23.0,408.0,10.0,6.0,D,58.29,1.43,0.86,3.643125
2000.0,Kareem Larrimore,West Texas A&M,CB,71.1,190.0,4.44,21.378663540445487,34.0,125.0,4.304478021978025,7.204715672676831,,4.0,109.0,DAL,24.0,2001.0,0.0,0.0,0.0,2.0,2.0,19.0,0.0,0.0,D,19.0,0.0,0.0,1.1875
2000.0,Leif Larsen,Texas-El Paso,DT,76.5,300.0,5.12,45.0,30.0,110.0,4.37,7.46,8-4-0,6.0,194.0,BUF,25.0,2001.0,0.0,0.0,0.0,3.0,3.0,16.0,0.0,2.0,D,16.0,0.0,2.0,1.0
2000.0,David Macklin,Penn State,CB,68.6,194.0,4.56,21.378663540445487,37.5,120.0,4.09,6.9,11-1-0,3.0,91.0,IND,22.0,2008.0,0.0,0.0,4.0,30.0,14.0,320.0,14.0,1.0,D,40.0,1.75,0.12,2.5
2000.0,Anthony Malbrough,Texas Tech,CB,68.9,184.0,4.49,20.0,35.5,117.0,4.0,6.73,9-3-0,5.0,130.0,CLE,23.0,2000.0,0.0,0.0,0.0,1.0,1.0,21.0,0.0,0.0,D,21.0,0.0,0.0,21.0
2000.0,Alvin McKinley,Mississippi State,DT,76.0,289.0,5.1,22.0,27.5,102.0,4.61,7.73,3-8-0,4.0,120.0,CAR,22.0,2007.0,0.0,0.0,3.0,23.0,1.0,146.0,0.0,11.5,D,20.86,0.0,1.64,1.30375
2000.0,Rob Meier,Washington State,DE,77.0,284.0,5.0,27.0,30.5,113.0,4.52,7.49,4-7-0,7.0,241.0,JAX,23.0,2008.0,0.0,0.0,3.0,31.0,31.0,187.0,0.0,21.5,D,23.38,0.0,2.69,1.46125
2000.0,Corey Moore,Virginia Tech,OLB,70.9,223.0,4.62,21.0,34.43981481481482,116.02665121668598,4.304478021978025,7.204715672676831,11-2-0,3.0,89.0,BUF,23.0,2001.0,0.0,0.0,0.0,3.0,3.0,11.0,0.0,1.0,D,11.0,0.0,1.0,0.6875
2000.0,Aric Morris,Michigan State,SS,69.4,211.0,4.56,24.0,34.43981481481482,116.02665121668598,4.304478021978025,7.204715672676831,5-6-0,5.0,135.0,TEN,23.0,2003.0,0.0,0.0,1.0,7.0,7.0,73.0,1.0,1.5,D,24.33,0.33,0.5,1.520625
2000.0,Rob Morris,Brigham Young,ILB,73.9,250.0,4.77,18.0,33.0,113.0,4.17,6.93,6-6-0,1.0,28.0,IND,25.0,2007.0,0.0,0.0,4.0,24.0,24.0,361.0,1.0,7.0,D,51.57,0.14,1.0,3.223125
2000.0,Bobby Myers,Wisconsin,FS,73.3,183.0,4.59,21.378663540445487,37.5,123.0,4.1,7.04,10-3-0,4.0,124.0,TEN,23.0,2001.0,0.0,0.0,0.0,2.0,2.0,13.0,0.0,0.0,D,13.0,0.0,0.0,0.8125
2000.0,Erik Olson,Colorado,SS,73.0,208.0,4.63,17.0,35.0,115.0,4.21,6.81,7-6-0,7.0,236.0,JAX,23.0,2000.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,D,5.0,0.0,0.0,5.0
2000.0,DaShon Polk,Arizona,OLB,73.9,233.0,4.77,18.0,32.0,111.0,4.45,7.43,3-8-0,7.0,251.0,BUF,23.0,2006.0,0.0,0.0,1.0,10.0,2.0,156.0,0.0,4.5,D,26.0,0.0,0.75,1.625
2000.0,Hank Poteat,Pittsburgh,CB,69.9,197.0,4.62,16.0,37.0,126.0,4.0,6.66,5-6-0,3.0,77.0,PIT,23.0,2009.0,0.0,0.0,1.0,14.0,2.0,164.0,4.0,3.0,D,18.22,0.44,0.33,1.13875
